<#f0f000>THROWS</>

Hourei							[_B/_F]_+[^2P/^2K]
Houten							_AIR[_B/_F]_+[^2P/^2K]

<#f0f000>UNIQUE ATTACKS</>

Rantetsu						_F_+^Y
Edoga							_F_+^Z

<#f0f000>SPECIAL MOVES</>

Ankiho_EX						_D_DF_F^P
Henkyoki_EX						_AIROK_D_DB_B^P
Senpubu_EX						_AIROK_F_D_DF^P
Reito_EX						_F_D_DF^K
Hotengeki						_F_DF_D_DB_B^K
Zampa_EX						(while opponent is down) _U_+^P/^K

<#f0f000>LEVEL 1 SUPER COMBOS</>

Chukadan						_B_DB_D_DF_F^2P
_!Detonate						_B_DB_D_DF_F^2P
Spirit Roller					_F_DF_D_DB_B^2P

<#f0f000>LEVEL 2 SUPER COMBOS</>

Chireito						_B_DB_D_DF_F^2K

<#f0f000>LEVEL 3 SUPER COMBOS</>

Tenraiha						^A,^C,^Y,^Y,_U

<#f0f000>SYSTEM</>

Forward Dash					_F_F
Back Dash						_B_B
Air Dash						_AIR_F_F/_B_B
High Jump						_TAP_D,_U
Forward Roll					^A_+^X
Back Roll						_B+^A_+^X
Power Charge					^B_+^Y
Dark Force						^C_+^Z
_!Cancel						^C_+^Z
Guard Cancel High				(during guard) _F_+^2P
Guard Cancel Low				(during guard) _F_+^2K
Fall Recovery					(when allowed)^P
Retreat							(while down) [_B/_F]_+^K
Taunt							^S
